GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
9472	2.28e-01	1.22e-03	0.5336	-3.2344727	-1.7259045	14.45	AKAP6	A-kinase anchoring protein 6
100507616	2.37e-01	1.30e-03	0.633	-3.2156319	-2.03537672	26.03	LINC02397	long intergenic non-protein coding RNA 2397
107984703	2.37e-01	1.30e-03	0.7543	-3.2168298	-2.42635851	11.9	LOC107984703	uncharacterized LOC107984703
4907	2.37e-01	1.32e-03	0.4941	-3.2120292	-1.58717517	30.04	NT5E	5'-nucleotidase ecto
9590	2.44e-01	1.37e-03	0.3623	3.2008376	1.15954097	53.78	AKAP12	A-kinase anchoring protein 12
5190	2.50e-01	1.44e-03	0.2351	-3.1859657	-0.74910189	101.48	PEX6	peroxisomal biogenesis factor 6
283194	2.50e-01	1.45e-03	0.5385	-3.1836222	-1.714428	9.47	LOC283194	uncharacterized LOC283194
745	2.50e-01	1.44e-03	0.6328	3.1874784	2.01718549	45.18	MYRF	myelin regulatory factor
5239	2.52e-01	1.49e-03	0.521	-3.1772094	-1.65531726	25.29	PGM5	phosphoglucomutase 5
8115	2.52e-01	1.50e-03	0.5956	-3.1742274	-1.89058617	75.12	TCL1A	TCL1 family AKT coactivator A
1310	2.55e-01	1.58e-03	0.4434	-3.1587151	-1.40059075	78.26	COL19A1	collagen type XIX alpha 1 chain
85495	2.55e-01	1.59e-03	0.3767	3.1580147	1.18950745	1785.08	RPPH1	ribonuclease P RNA component H1
56911	2.55e-01	1.54e-03	0.3024	-3.1663558	-0.95742827	312.12	MAP3K7CL	MAP3K7 C-terminal like
7403	2.55e-01	1.56e-03	0.1618	-3.1630519	-0.51169527	407.33	KDM6A	lysine demethylase 6A
10038	2.64e-01	1.66e-03	0.372	3.1452821	1.17005311	1809.35	PARP2	poly(ADP-ribose) polymerase 2
85458	2.65e-01	1.70e-03	0.4325	-3.137673	-1.35699735	14.43	DIXDC1	DIX domain containing 1
6166	2.65e-01	1.69e-03	0.1402	3.1393509	0.44008217	248.92	RPL36AL	ribosomal protein L36a like
84771	2.71e-01	1.76e-03	0.3915	3.1287414	1.22485032	15.71	DDX11L2	DEAD/H-box helicase 11 like 2 (pseudogene)
5079	2.81e-01	1.84e-03	0.4414	-3.1143413	-1.3745638	179.2	PAX5	paired box 5
3495	2.87e-01	1.90e-03	0.4782	-3.1049265	-1.48481929	109.63	IGHD	immunoglobulin heavy constant delta
9853	2.93e-01	1.96e-03	0.4093	3.096541	1.2673488	25.06	RUSC2	RUN and SH3 domain containing 2
27065	3.00e-01	2.03e-03	0.4083	3.0858105	1.25982505	17.84	NSG1	neuronal vesicle trafficking associated 1
9265	3.02e-01	2.06e-03	0.3069	3.0813494	0.94561507	35.75	CYTH3	cytohesin 3
101928572	3.08e-01	2.12e-03	0.3352	-3.072605	-1.03008611	24.63	LOC101928572	uncharacterized LOC101928572
202559	3.17e-01	2.20e-03	0.5176	-3.0612546	-1.58464553	32.99	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2
400709	3.23e-01	2.27e-03	0.2711	-3.0526291	-0.82756308	31.36	SIGLEC16	sialic acid binding Ig like lectin 16
79666	3.24e-01	2.30e-03	0.1738	-3.0484633	-0.52975386	156.41	PLEKHF2	pleckstrin homology and FYVE domain containing 2
1298	3.27e-01	2.39e-03	0.3537	-3.0372965	-1.07432532	37.21	COL9A2	collagen type IX alpha 2 chain
105373504	3.27e-01	2.37e-03	0.5488	-3.040004	-1.6685042	19.07	LOC105373504	uncharacterized LOC105373504
8807	3.27e-01	2.38e-03	0.5104	-3.0379349	-1.55047818	219.71	IL18RAP	interleukin 18 receptor accessory protein
7325	3.28e-01	2.42e-03	0.2327	-3.0327622	-0.70565258	130.99	UBE2E2	ubiquitin conjugating enzyme E2 E2
79632	3.28e-01	2.44e-03	0.5506	3.0307521	1.66862832	9	FAM184A	family with sequence similarity 184 member A
26958	3.28e-01	2.47e-03	0.2601	-3.0269758	-0.78732557	33.11	COPG2	COPI coat complex subunit gamma 2
28468	3.28e-01	2.48e-03	0.5207	-3.026215	-1.57566935	12.33	IGHV1-18	immunoglobulin heavy variable 1-18
8564	3.35e-01	2.61e-03	0.287	-3.0100247	-0.86393638	54.37	KMO	kynurenine 3-monooxygenase
221264	3.35e-01	2.62e-03	0.2363	-3.0088564	-0.71085524	74.67	AK9	adenylate kinase 9
4326	3.35e-01	2.56e-03	0.312	-3.0161021	-0.94090569	30.2	MMP17	matrix metallopeptidase 17
4267	3.35e-01	2.62e-03	0.1726	3.0085611	0.5192879	353.82	CD99	CD99 molecule (Xg blood group)
107984960	3.42e-01	2.74e-03	0.2647	2.995186	0.79274831	35.94	LOC107984960	uncharacterized LOC107984960
9420	3.42e-01	2.71e-03	0.4169	-2.9984456	-1.24992563	22.53	CYP7B1	cytochrome P450 family 7 subfamily B member 1
2316	3.42e-01	2.74e-03	0.1583	2.9954606	0.47413776	8467.53	FLNA	filamin A
105377890	3.45e-01	2.79e-03	0.4471	-2.9899132	-1.33679067	21.7	LOC105377890	uncharacterized LOC105377890
22837	3.48e-01	2.84e-03	0.3291	-2.9841022	-0.98206567	82.12	COBLL1	cordon-bleu WH2 repeat protein like 1
319101	3.52e-01	2.90e-03	0.523	2.9782544	1.55776756	17.65	KRT73	keratin 73
79368	3.53e-01	2.93e-03	0.5033	-2.9750261	-1.49726494	106.25	FCRL2	Fc receptor like 2
6048	3.66e-01	3.07e-03	0.2784	2.9611248	0.82443858	77.03	RNF5	ring finger protein 5
84680	3.66e-01	3.11e-03	0.4138	2.9568461	1.22355008	84.96	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
644246	3.66e-01	3.11e-03	0.4295	2.9568427	1.26984707	20.09	KANSL1-AS1	KANSL1 antisense RNA 1
221472	3.66e-01	3.16e-03	0.2164	-2.9517812	-0.63890746	472.28	FGD2	FYVE, RhoGEF and PH domain containing 2
875	3.66e-01	3.15e-03	0.432	2.9523252	1.27554396	21.57	CBS	cystathionine beta-synthase
80071	3.70e-01	3.22e-03	0.3406	-2.946205	-1.00354892	45.48	CCDC15	coiled-coil domain containing 15
101927069	3.70e-01	3.29e-03	0.2952	-2.9394769	-0.86779389	27.66	LOC101927069	uncharacterized LOC101927069
11251	3.70e-01	3.29e-03	0.328	-2.9388766	-0.96398004	78.94	PTGDR2	prostaglandin D2 receptor 2
55769	3.70e-01	3.26e-03	0.2439	-2.9421272	-0.71759336	129.95	ZNF83	zinc finger protein 83
4345	3.74e-01	3.36e-03	0.577	-2.9331415	-1.69233289	15.66	CD200	CD200 molecule
221756	3.84e-01	3.47e-03	0.308	-2.9230515	-0.90025827	26.38	SERPINB9P1	serpin family B member 9 pseudogene 1
642846	3.90e-01	3.55e-03	0.4104	-2.9159008	-1.19678067	23.1	LOC642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like
1269	3.93e-01	3.76e-03	0.3821	-2.8973253	-1.10713312	56.35	CNR2	cannabinoid receptor 2
2213	3.93e-01	3.73e-03	0.2519	-2.9005409	-0.73065739	165.82	FCGR2B	Fc gamma receptor IIb
100996286	3.93e-01	3.69e-03	0.3931	-2.9033126	-1.14141679	16.52	LINC02273	long intergenic non-protein coding RNA 2273
3123	3.93e-01	3.62e-03	0.2409	-2.9097924	-0.70109864	607.49	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
338811	3.93e-01	3.64e-03	0.3384	-2.9080405	-0.98421926	57.61	TAFA2	TAFA chemokine like family member 2
10294	3.93e-01	3.73e-03	0.1961	2.9001036	0.56881328	241.99	DNAJA2	DnaJ heat shock protein family (Hsp40) member A2
958	3.93e-01	3.76e-03	0.3242	-2.897561	-0.93951635	52.94	CD40	CD40 molecule
931	4.11e-01	3.96e-03	0.4499	-2.8814783	-1.29634346	304.06	MS4A1	membrane spanning 4-domains A1
27181	4.17e-01	4.05e-03	0.4617	-2.8743544	-1.32695435	40.45	SIGLEC8	sialic acid binding Ig like lectin 8
643827	4.24e-01	4.14e-03	1.0098	2.8672412	2.89548277	66.92	CNTNAP3P2	CNTNAP3 pseudogene 2
4261	4.25e-01	4.18e-03	0.2117	-2.864275	-0.60625865	1004.16	CIITA	class II major histocompatibility complex transactivator
102723539	4.29e-01	4.28e-03	0.4408	-2.8567797	-1.25925086	12.31	LOC102723539	
112268311	4.29e-01	4.27e-03	0.9304	2.8573724	2.6583948	9.95	LOC112268311	uncharacterized LOC112268311
105374746	4.30e-01	4.34e-03	0.3813	2.8521705	1.08762322	24.05	LOC105374746	uncharacterized LOC105374746
3690	4.30e-01	4.32e-03	0.309	2.8535969	0.8818519	1454.09	ITGB3	integrin subunit beta 3
140710	4.30e-01	4.37e-03	0.1989	-2.8500209	-0.56678674	104.18	SOGA1	suppressor of glucose, autophagy associated 1
10975	4.30e-01	4.40e-03	0.2592	2.8477301	0.73825919	173.9	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
8363	4.33e-01	4.46e-03	0.2529	2.843324	0.71920451	167.17	H4C11	H4 clustered histone 11
23236	4.35e-01	4.52e-03	0.2029	-2.8397252	-0.57618974	67.55	PLCB1	phospholipase C beta 1
91355	4.39e-01	4.58e-03	0.2557	-2.8352135	-0.72500147	107.53	LRP5L	LDL receptor related protein 5 like (pseudogene)
105371085	4.43e-01	4.65e-03	0.2987	-2.8301521	-0.84550706	59.42	LOC105371085	uncharacterized LOC105371085
55205	4.46e-01	4.72e-03	0.2666	-2.8256694	-0.75323458	48.16	ZNF532	zinc finger protein 532
2650	4.49e-01	4.78e-03	0.2032	-2.8216023	-0.57338139	95.53	GCNT1	glucosaminyl (N-acetyl) transferase 1
90120	4.52e-01	4.84e-03	0.1877	2.8176702	0.52876308	136.33	TMEM250	transmembrane protein 250
11043	4.54e-01	4.89e-03	0.3907	2.8140805	1.09949816	18.62	MID2	midline 2
105371632	4.59e-01	5.25e-03	0.4824	-2.7915584	-1.34675625	12.96	LOC105371632	uncharacterized LOC105371632
4211	4.59e-01	5.25e-03	0.3243	-2.791331	-0.90514319	40.3	MEIS1	Meis homeobox 1
202309	4.59e-01	5.21e-03	0.196	-2.793942	-0.54760681	275.38	GAPT	GRB2 binding adaptor protein, transmembrane
79616	4.59e-01	5.24e-03	0.3437	-2.7917492	-0.9594323	171.43	CCNJL	cyclin J like
5244	4.59e-01	5.24e-03	0.5042	-2.7917547	-1.40752839	26.61	ABCB4	ATP binding cassette subfamily B member 4
112268035	4.59e-01	5.10e-03	0.3135	-2.8008694	-0.87796137	40.86	LOC112268035	
120071	4.59e-01	5.11e-03	0.4991	-2.8002676	-1.39769669	28.87	LARGE2	LARGE xylosyl- and glucuronyltransferase 2
100287029	4.59e-01	5.17e-03	0.7381	-2.7960231	-2.06374055	61.88	DDX11L10	DEAD/H-box helicase 11 like 10 (pseudogene)
123879	4.59e-01	5.21e-03	0.2224	2.7936437	0.6213168	56.14	DCUN1D3	defective in cullin neddylation 1 domain containing 3
57553	4.59e-01	4.98e-03	0.2833	-2.8082041	-0.79558575	176.24	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3
132884	4.64e-01	5.35e-03	0.6426	2.7848713	1.78943579	12.34	EVC2	EvC ciliary complex subunit 2
1879	4.64e-01	5.37e-03	0.516	-2.7840825	-1.43672225	177.6	EBF1	EBF transcription factor 1
79674	4.76e-01	5.62e-03	0.4565	-2.7689709	-1.26412981	19.45	VEPH1	ventricular zone expressed PH domain containing 1
107984567	4.76e-01	5.63e-03	0.3361	-2.7685079	-0.93058664	23.68	LOC107984567	LINE-1 retrotransposable element ORF2 protein-like
440482	4.76e-01	5.55e-03	0.418	2.7733755	1.15919244	11.75	ANKRD20A5P	ankyrin repeat domain 20 family member A5, pseudogene
554203	4.76e-01	5.64e-03	0.34	-2.7680296	-0.94100406	34.69	JPX	JPX transcript, XIST activator
8226	4.80e-01	5.72e-03	0.3234	-2.7635046	-0.89375533	31.92	PUDP	pseudouridine 5'-phosphatase
102723342	5.00e-01	5.99e-03	0.209	2.7484639	0.57435214	67.94	LOC102723342	uncharacterized LOC102723342
343099	5.08e-01	6.30e-03	0.1499	-2.7316606	-0.40934505	260.32	CCDC18	coiled-coil domain containing 18
8458	5.08e-01	6.32e-03	0.2412	-2.7305356	-0.65855954	73.92	TTF2	transcription termination factor 2
646976	5.08e-01	6.43e-03	0.3803	-2.7249955	-1.03623593	53.13	RALGPS2-AS1	RALGPS2 antisense RNA 1
28912	5.08e-01	6.49e-03	0.5988	-2.7221664	-1.63005401	65.92	IGKV3-20	immunoglobulin kappa variable 3-20
2149	5.08e-01	6.32e-03	0.2919	2.7307292	0.79712244	121.78	F2R	coagulation factor II thrombin receptor
8367	5.08e-01	6.37e-03	0.1873	2.7281529	0.51103322	314.76	H4C5	H4 clustered histone 5
101927538	5.08e-01	6.45e-03	0.3979	2.724039	1.08379404	16.14	LOC101927538	
441250	5.08e-01	6.50e-03	0.2862	-2.7214787	-0.7788151	32.25	TYW1B	tRNA-yW synthesizing protein 1 homolog B
144165	5.08e-01	6.41e-03	0.3218	-2.7259132	-0.87724734	25.15	PRICKLE1	prickle planar cell polarity protein 1
27004	5.08e-01	6.35e-03	0.6527	-2.7291048	-1.78132409	13.33	TCL6	T cell leukemia/lymphoma 6
414062	5.08e-01	6.50e-03	0.5794	-2.7215133	-1.57679947	25.27	CCL3L3	C-C motif chemokine ligand 3 like 3
112724	5.08e-01	6.52e-03	0.363	-2.7204744	-0.98765799	46.23	RDH13	retinol dehydrogenase 13
116448	5.08e-01	6.31e-03	0.3947	-2.7312609	-1.07799872	46.47	OLIG1	oligodendrocyte transcription factor 1
105377067	5.13e-01	6.65e-03	0.7123	-2.7141186	-1.93330361	52.74	LOC105377067	uncharacterized LOC105377067
8362	5.13e-01	6.69e-03	0.275	2.7119179	0.74586662	214.66	H4C12	H4 clustered histone 12
3418	5.13e-01	6.66e-03	0.1732	2.7134404	0.46992654	158.65	IDH2	isocitrate dehydrogenase (NADP(+)) 2
692063	5.14e-01	6.74e-03	0.3737	2.7092608	1.01244647	46.75	SNORA32	small nucleolar RNA, H/ACA box 32
105379420	5.20e-01	6.85e-03	0.3595	-2.7040786	-0.97222718	25.88	LOC105379420	uncharacterized LOC105379420
105377782	5.22e-01	6.99e-03	0.851	2.6974071	2.29556176	25.53	LOC105377782	uncharacterized LOC105377782
55089	5.22e-01	6.95e-03	0.5326	-2.699347	-1.43768964	8.73	SLC38A4	solute carrier family 38 member 4
374470	5.22e-01	6.95e-03	0.5577	-2.6990611	-1.50534953	18.11	C12orf42	chromosome 12 open reading frame 42
80045	5.29e-01	7.11e-03	0.4247	2.6915812	1.14307952	20.11	GPR157	G protein-coupled receptor 157
338692	5.30e-01	7.16e-03	0.2425	-2.6892221	-0.65205502	629.73	ANKRD13D	ankyrin repeat domain 13D
252839	5.41e-01	7.35e-03	0.299	2.6807652	0.80146823	22.69	TMEM9	transmembrane protein 9
503638	5.42e-01	7.39e-03	0.7814	2.6786384	2.09312626	8.91	DUXAP9	double homeobox A pseudogene 9
1122	5.45e-01	7.48e-03	0.2551	-2.6748097	-0.68244208	78.17	CHML	CHM like Rab escort protein
105376095	5.45e-01	7.50e-03	0.4066	-2.6735914	-1.08696722	21.09	LOC105376095	uncharacterized LOC105376095
25824	5.48e-01	7.58e-03	0.3031	2.6700103	0.80939577	322.79	PRDX5	peroxiredoxin 5
7088	5.48e-01	7.67e-03	0.2897	-2.6663592	-0.77250166	42.84	TLE1	TLE family member 1, transcriptional corepressor
28816	5.48e-01	7.64e-03	0.4771	-2.6674426	-1.27268233	18.45	IGLV2-11	immunoglobulin lambda variable 2-11
112268292	5.51e-01	7.74e-03	0.5343	-2.6631283	-1.42298841	8.94	LOC112268292	
414332	5.52e-01	7.79e-03	0.4358	-2.6610123	-1.15957378	13	LCN10	lipocalin 10
971	5.52e-01	7.83e-03	0.4279	-2.6591432	-1.13774834	48.75	CD72	CD72 molecule
23223	5.56e-01	7.93e-03	0.2627	2.6550835	0.69736106	209.9	RRP12	ribosomal RNA processing 12 homolog
105374769	5.58e-01	7.98e-03	0.3714	2.6527316	0.9852303	29.56	LOC105374769	uncharacterized LOC105374769
123355	5.62e-01	8.08e-03	0.1981	-2.64875	-0.52471744	71.77	LRRC28	leucine rich repeat containing 28
1848	5.65e-01	8.16e-03	0.2185	2.6454348	0.57790996	697.97	DUSP6	dual specificity phosphatase 6
400798	5.68e-01	8.31e-03	0.4778	-2.6390476	-1.26099657	18.99	C1orf220	chromosome 1 putative open reading frame 220
3127	5.68e-01	8.31e-03	0.382	-2.6393518	-1.00817838	307.66	HLA-DRB5	major histocompatibility complex, class II, DR beta 5
1069	5.68e-01	8.32e-03	0.3344	2.6386791	0.88240366	30.44	CETN2	centrin 2
100132832	5.71e-01	8.41e-03	0.2452	-2.6351809	-0.6461516	38.63	PMS2P9	PMS1 homolog 2, mismatch repair system component pseudogene 9
6940	5.79e-01	8.58e-03	0.3764	-2.6285083	-0.98940499	51.46	ZNF354A	zinc finger protein 354A
23204	5.79e-01	8.60e-03	0.3172	2.6277516	0.83356159	968.87	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1
9712	5.84e-01	8.70e-03	0.2522	-2.6234393	-0.66161038	181.34	USP6NL	USP6 N-terminal like
105372489	5.87e-01	8.79e-03	0.4949	2.6199363	1.29666517	8.32	SERTAD3-AS1	SERTAD3 antisense RNA 1
284323	5.87e-01	8.84e-03	0.1899	-2.6180983	-0.49721543	197.76	ZNF780A	zinc finger protein 780A
105371529	5.93e-01	8.97e-03	0.4542	-2.6133374	-1.18708573	19.56	LOC105371529	uncharacterized LOC105371529
973	5.93e-01	9.01e-03	0.4491	-2.6116017	-1.17279241	152.7	CD79A	CD79a molecule
10180	5.94e-01	9.05e-03	0.1289	-2.6100837	-0.33652451	485.62	RBM6	RNA binding motif protein 6
105371080	5.94e-01	9.15e-03	0.3015	-2.6065748	-0.78597149	43.18	LOC105371080	
3275	5.94e-01	9.12e-03	0.1866	-2.6076729	-0.48660281	705.46	PRMT2	protein arginine methyltransferase 2
202018	6.06e-01	9.36e-03	0.2583	-2.5984388	-0.67128749	132	TAPT1	transmembrane anterior posterior transformation 1
